file,line,original,replacement,tag
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/worthy.md,36,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/da_vinci.md,27,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/customer_data_api.md,27,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/customer_data_api.md,28,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/customer_data_api.md,68,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/visual_and_interactive_content/movable_ink/dynamic_sms_link.md,18,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/personalized_recommendations/amazon_personalize/workshop.md,22,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/personalized_recommendations/amazon_personalize/workshop.md,39,you need to ,you must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/content_optimization_testing/trustpilot.md,26,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/dynamic_content/content_optimization_testing/jacquard.md,23,you need to ,you must ,you-need-to
_docs/_partners/message_personalization/localization/smartling.md,34,You need to ,You must ,you-need-to
_docs/_partners/message_personalization/localization/lokalise.md,90,you need to ,you must ,you-need-to
