file,line,original_excerpt,replacement,confidence
_docs/_partners/data_and_analytics/reverse_etl/census/census_cohort_import.md,26,you will,you,rerun
_docs/_partners/data_and_analytics/reverse_etl/census/census_cohort_import.md,39,will be added,is added,rerun
_docs/_partners/data_and_analytics/reverse_etl/census/census_cohort_import.md,48,will be added,is added,rerun
_docs/_partners/data_and_analytics/loyalty/antavo.md,54,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/antavo.md,70,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/sessionm.md,230,will be added,is added,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/code_generation.md,20,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/code_generation.md,21,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/code_generation.md,30,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/code_generation.md,97,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,19,will be available,is available,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,42,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,42,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,57,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,166,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,189,will receive,receives,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,189,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,235,will be created,is created,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,233,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,258,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,258,will be,is,rerun
_docs/_partners/data_and_analytics/loyalty/punchh/punchh.md,271,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/lexer.md,45,will provide,provides,rerun
_docs/_partners/data_and_analytics/customer_data_platform/lexer.md,45,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/lexer.md,47,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/lexer.md,69,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/lexer.md,73,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/snowplow.md,78,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/snowplow.md,79,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/snowplow.md,88,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/snowplow.md,119,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/merkury.md,18,will update,updates,rerun
_docs/_partners/data_and_analytics/customer_data_platform/merkury.md,32,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/merkury.md,45,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/merkury.md,49,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/blueconic.md,22,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/blueconic.md,29,You will,You,rerun
_docs/_partners/data_and_analytics/customer_data_platform/blueconic.md,32,You will,You,rerun
_docs/_partners/data_and_analytics/customer_data_platform/blueconic.md,34,You will,You,rerun
_docs/_partners/data_and_analytics/customer_data_platform/blueconic.md,72,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/lemnisk.md,57,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/growthloop.md,46,will appear,appears,rerun
_docs/_partners/data_and_analytics/customer_data_platform/growthloop.md,48,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/redpoint.md,86,You will,You,rerun
_docs/_partners/data_and_analytics/customer_data_platform/redpoint.md,116,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/redpoint.md,124,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/celebrus.md,29,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/celebrus.md,31,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/celebrus.md,57,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/dynamics_365_customer_insights.md,24,You will,You,rerun
_docs/_partners/data_and_analytics/customer_data_platform/dynamics_365_customer_insights.md,36,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/dynamics_365_customer_insights.md,57,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/dynamics_365_customer_insights.md,58,will be created,is created,rerun
_docs/_partners/data_and_analytics/customer_data_platform/dynamics_365_customer_insights.md,66,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/lytics.md,71,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/lytics.md,78,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/lytics.md,106,will be created,is created,rerun
_docs/_partners/data_and_analytics/customer_data_platform/octolis.md,64,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/octolis.md,73,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/octolis.md,68,will appear,appears,rerun
_docs/_partners/data_and_analytics/customer_data_platform/octolis.md,89,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/octolis.md,89,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/octolis.md,89,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/octolis.md,91,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/octolis.md,87,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amperity.md,59,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amperity.md,61,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amperity.md,65,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amperity.md,87,will be created,is created,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amperity.md,156,will be added,is added,rerun
_docs/_partners/data_and_analytics/customer_data_platform/amperity.md,181,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/actioniq.md,48,will update,updates,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_for_currents.md,32,will provide,provides,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_for_currents.md,32,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_for_currents.md,41,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_for_currents.md,41,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_for_currents.md,41,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,106,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,128,will appear,appears,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,138,will send,sends,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,138,will be,is,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,138,you will,you,rerun
_docs/_partners/data_and_analytics/customer_data_platform/tealium/tealium_audience_stream.md,154,will be created,is created,rerun
