nav_title,current_path,proposed_section,proposed_path,change_type,annotation,status
Export Braze data,_docs/_user_guide/data/distribution/export_braze_data.md,Data > Distribution > Export Braze data,_docs/_user_guide/data/distribution/export_braze_data.md,unchanged,,
Message archiving,_docs/_user_guide/data/distribution/export_braze_data/message_archiving.md,Data > Distribution > Export Braze data > Message archiving,_docs/_user_guide/data/distribution/export_braze_data/message_archiving.md,unchanged,,
Campaign data,_docs/_user_guide/data/distribution/export_braze_data/export_campaign_results_data.md,Data > Distribution > Export Braze data > Campaign data,_docs/_user_guide/data/distribution/export_braze_data/campaign_data.md,unchanged,,
Canvas data,_docs/_user_guide/data/distribution/export_braze_data/export_canvas_data.md,Data > Distribution > Export Braze data > Canvas data,_docs/_user_guide/data/distribution/export_braze_data/canvas_data.md,unchanged,,
Segment data,_docs/_user_guide/engagement_tools/segments/viewing_and_understanding_segment_data.md,Data > Distribution > Export Braze data > Segment data,_docs/_user_guide/data/distribution/export_braze_data/segment_data.md,moved,,
Export APIs,_docs/_user_guide/data/distribution/export_braze_data/export_apis.md,Data > Distribution > Export Braze data > Export APIs,_docs/_user_guide/data/distribution/export_braze_data/export_apis.md,unchanged,,
Troubleshooting,_docs/_user_guide/administrative/access_braze/troubleshooting.md,Data > Distribution > Export Braze data > Troubleshooting,_docs/_user_guide/data/distribution/export_braze_data/troubleshooting.md,moved,,
FAQ,_docs/_user_guide/data/distribution/braze_currents/faq.md,Data > Distribution > Export Braze data > FAQ,_docs/_user_guide/data/distribution/export_braze_data/faq.md,unchanged,,
Infrastructure,_docs/_user_guide/data/infrastructure.md,Data > Infrastructure,_docs/_user_guide/data/infrastructure.md,unchanged,,
Data centers,_docs/_user_guide/data/infrastructure/data_centers.md,Data > Infrastructure > Data centers,_docs/_user_guide/data/infrastructure/data_centers.md,unchanged,,
Identifier field-level encryption,_docs/_user_guide/data/infrastructure/field_level_encryption.md,Data > Infrastructure > Identifier field-level encryption,_docs/_user_guide/data/infrastructure/identifier_fieldlevel_encryption.md,unchanged,,
Data points,_docs/_user_guide/data/infrastructure/data_points.md,Data > Infrastructure > Data points,_docs/_user_guide/data/infrastructure/data_points.md,unchanged,,
Technology Partners,_docs/_user_guide/data/technology_partners.md,Data > Technology Partners,_docs/_user_guide/data/technology_partners.md,unchanged,,
Audience,_docs/_user_guide/engagement_tools/canvas/canvas_components/audience_sync.md,Audience,_docs/_user_guide/audience.md,unchanged,landing page should include a cross-link to User data,
Your audience,,Audience > Your audience,_docs/_user_guide/audience/your_audience.md,new,"new article, would consist of a variety of jumping off points for learning about audience/user management in Braze:",
Segments,_docs/_user_guide/engagement_tools/segments.md,Audience > Segments,_docs/_user_guide/audience/segments.md,moved,,
Use case: Segment with nested custom attributes,,Audience > Segments > Use case: Segment with nested custom attributes,_docs/_user_guide/audience/segments/use_case_segment_with_nested_custom_attributes.md,new,"new article, pulls entire section on Segmenting from ""Nested custom attributes"" article",
Global control group,_docs/_user_guide/engagement_tools/testing/global_control_group.md,Audience > Global control group,_docs/_user_guide/audience/global_control_group.md,moved,,
Suppression lists,_docs/_user_guide/engagement_tools/segments/suppression_lists.md,Audience > Suppression lists,_docs/_user_guide/audience/suppression_lists.md,moved,,
User profiles,_docs/_user_guide/engagement_tools/segments/user_profiles.md,Audience > User profiles,_docs/_user_guide/audience/user_profiles.md,moved,,
Manage users,_docs/_user_guide/engagement_tools/messaging_fundamentals/targeting_users.md,Audience > Manage users,_docs/_user_guide/audience/manage_users.md,moved,,
Import users,_docs/_user_guide/data/unification/user_data/import_users.md,Audience > Manage users > Import users,_docs/_user_guide/audience/manage_users/import_users.md,moved,,
CSV import,_docs/_user_guide/data/unification/user_data/import_users/csv.md,Audience > Manage users > Import users > CSV import,_docs/_user_guide/audience/manage_users/import_users/csv_import.md,moved,,
Merge duplicate users,_docs/_user_guide/engagement_tools/segments/user_profiles/duplicate_users.md,Audience > Manage users > Merge duplicate users,_docs/_user_guide/audience/manage_users/merge_duplicate_users.md,moved,,
Delete users,_docs/_user_guide/data/unification/user_data/delete_users.md,Audience > Manage users > Delete users,_docs/_user_guide/audience/manage_users/delete_users.md,moved,,
Subscription preferences,_docs/_user_guide/administrative/app_settings/company_settings/notification_preferences.md,Audience > Subscription preferences,_docs/_user_guide/audience/subscription_preferences.md,moved,,
Subscription status,_docs/_user_guide/message_building_by_channel/line/line_users/subscription_groups.md,Audience > Subscription preferences > Subscription status,_docs/_user_guide/audience/subscription_preferences/subscription_status.md,moved,,
Subscription groups,_docs/_user_guide/message_building_by_channel/sms_mms_rcs/subscription_groups.md,Audience > Subscription preferences > Subscription groups,_docs/_user_guide/audience/subscription_preferences/subscription_groups.md,moved,,
Preference center,_docs/_user_guide/message_building_by_channel/email/preference_center.md,Audience > Subscription preferences > Preference center,_docs/_user_guide/audience/subscription_preferences/preference_center.md,moved,Related articles: API endpoints,
Locations and geofences,_docs/_user_guide/engagement_tools/locations_and_geofences.md,Audience > Locations and geofences,_docs/_user_guide/audience/locations_and_geofences.md,moved,,
Messaging,_docs/_user_guide/brazeai/predictive_churn/messaging_users.md,Messaging,_docs/_user_guide/messaging.md,unchanged,,
Messaging fundamentals,_docs/_user_guide/engagement_tools/messaging_fundamentals.md,Messaging > Messaging fundamentals,_docs/_user_guide/messaging/messaging_fundamentals.md,moved,,
Accessibility,_docs/_user_guide/engagement_tools/messaging_fundamentals/accessibility.md,Messaging > Messaging fundamentals > Accessibility,_docs/_user_guide/messaging/messaging_fundamentals/accessibility.md,moved,,
Approvals,_docs/_user_guide/engagement_tools/messaging_fundamentals/approvals.md,Messaging > Messaging fundamentals > Approvals,_docs/_user_guide/messaging/messaging_fundamentals/approvals.md,moved,,
Messaging rules,_docs/_user_guide/engagement_tools/messaging_fundamentals/approvals/messaging_rules.md,Messaging > Messaging fundamentals > Approvals > Messaging rules,_docs/_user_guide/messaging/messaging_fundamentals/approvals/messaging_rules.md,moved,,
Archiving,_docs/_user_guide/engagement_tools/messaging_fundamentals/archiving.md,Messaging > Messaging fundamentals > Archiving,_docs/_user_guide/messaging/messaging_fundamentals/archiving.md,moved,,
Conversion Events,_docs/_user_guide/engagement_tools/messaging_fundamentals/conversion_events.md,Messaging > Messaging fundamentals > Conversion Events,_docs/_user_guide/messaging/messaging_fundamentals/conversion_events.md,moved,,
Copy across workspaces,_docs/_user_guide/engagement_tools/messaging_fundamentals/copying_across_workspaces.md,Messaging > Messaging fundamentals > Copy across workspaces,_docs/_user_guide/messaging/messaging_fundamentals/copy_across_workspaces.md,moved,,
Delivery and entry types,_docs/_user_guide/engagement_tools/messaging_fundamentals/delivery_types.md,Messaging > Messaging fundamentals > Delivery and entry types,_docs/_user_guide/messaging/messaging_fundamentals/delivery_and_entry_types.md,moved,,
Duplicating,_docs/_user_guide/engagement_tools/messaging_fundamentals/duplicating.md,Messaging > Messaging fundamentals > Duplicating,_docs/_user_guide/messaging/messaging_fundamentals/duplicating.md,moved,,
