current_path,nav_title,article_title,page_order,depth,parent_section,hidden,config_only
_docs/_user_guide/message_building_by_channel/email/email_setup/consent_and_address_collection.md,Consent & address collection,Consent & Address Collection,6.0,3,message_building_by_channel/email/email_setup,False,False
_docs/_user_guide/message_building_by_channel/email/email_setup/deliverability_pitfalls_and_spam_traps.md,Deliverability pitfalls & spam traps,Deliverability Pitfalls & Spam Traps,7.0,3,message_building_by_channel/email/email_setup,False,False
_docs/_user_guide/message_building_by_channel/email/email_setup/email_validation.md,Email validation,Email Validation,3.0,3,message_building_by_channel/email/email_setup,False,False
_docs/_user_guide/message_building_by_channel/email/email_setup/import_your_email_list.md,Import your email list,Import Your Email List into Braze,4.0,3,message_building_by_channel/email/email_setup,False,False
_docs/_user_guide/message_building_by_channel/email/email_setup/ip_warming.md,IP warming,IP Warming,1.0,3,message_building_by_channel/email/email_setup,False,False
_docs/_user_guide/message_building_by_channel/email/email_setup/setting_up_ips_and_domains.md,Set up IPs & domains,Set Up IPs & Domains,0.0,3,message_building_by_channel/email/email_setup,False,False
_docs/_user_guide/message_building_by_channel/email/email_setup/ssl.md,SSL at Braze,SSL Overview,5.0,3,message_building_by_channel/email/email_setup,False,False
_docs/_user_guide/message_building_by_channel/email/faq.md,FAQ,Email FAQ,15.0,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/html_editor.md,HTML editor,HTML Editor for Email,4.0,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/html_editor/creating_an_email_campaign.md,Create an email,Create an Email with Custom HTML,1.0,3,message_building_by_channel/email/html_editor,False,False
_docs/_user_guide/message_building_by_channel/email/html_editor/css_inline.md,CSS inlining,CSS Inlining,5.1,3,message_building_by_channel/email/html_editor,False,False
_docs/_user_guide/message_building_by_channel/email/html_editor/gmail_promotions_tab.md,Gmail promotions setup,Gmail Promotions Setup,8.0,3,message_building_by_channel/email/html_editor,False,False
_docs/_user_guide/message_building_by_channel/email/html_editor/troubleshooting.md,Troubleshooting,Troubleshooting,9.0,3,message_building_by_channel/email/html_editor,False,False
_docs/_user_guide/message_building_by_channel/email/inbox_vision.md,Inbox Vision,Inbox Vision,9.0,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/managing_user_subscriptions.md,Email subscriptions,Email Subscriptions,6.0,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/preference_center.md,Preference center,Preference Center,8.0,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/preference_center/api_preference_center.md,API email preference center,API email preference center,1.0,3,message_building_by_channel/email/preference_center,False,False
_docs/_user_guide/message_building_by_channel/email/preference_center/dnd_preference_center.md,Drag-and-drop email preference center,Drag-And-Drop Email Preference Center,2.0,3,message_building_by_channel/email/preference_center,False,False
_docs/_user_guide/message_building_by_channel/email/reporting_and_analytics.md,Reporting & analytics,Reporting & analytics,12.0,2,message_building_by_channel/email,False,True
_docs/_user_guide/message_building_by_channel/email/reporting_and_analytics/analytics_glossary.md,Email Analytics Glossary,Email Analytics Glossary,0.0,3,message_building_by_channel/email/reporting_and_analytics,False,False
_docs/_user_guide/message_building_by_channel/email/reporting_and_analytics/email_reporting.md,Reporting,Email Reporting,20.0,3,message_building_by_channel/email/reporting_and_analytics,False,False
_docs/_user_guide/message_building_by_channel/email/templates.md,Templates,Email Templates,5.0,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/templates/email_template.md,Create an email template,Create an Email Template,0.0,3,message_building_by_channel/email/templates,False,False
_docs/_user_guide/message_building_by_channel/email/templates/faq.md,FAQ,Email and Link Template FAQ,10.0,3,message_building_by_channel/email/templates,False,False
_docs/_user_guide/message_building_by_channel/email/templates/html_email_template.md,Upload an HTML email template,Upload an HTML Email Template,2.0,3,message_building_by_channel/email/templates,False,False
_docs/_user_guide/message_building_by_channel/email/templates/link_aliasing.md,Link aliasing,Link Aliasing,3.0,3,message_building_by_channel/email/templates,False,False
_docs/_user_guide/message_building_by_channel/email/templates/link_template.md,Link templates,Link Templates,4.0,3,message_building_by_channel/email/templates,False,False
_docs/_user_guide/message_building_by_channel/email/testing.md,Testing,Testing,13.0,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/transactional_message_api_campaign.md,Transactional email campaigns,Transactional Email Campaigns,10.0,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/email/transactional_message_api_campaign/tracking_transactional_emails.md,Track transactional emails,Track Transactional Emails,1.0,3,message_building_by_channel/email/transactional_message_api_campaign,False,False
_docs/_user_guide/message_building_by_channel/email/universal_links.md,Universal links and app links,Universal Links and App Links,6.4,2,message_building_by_channel/email,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages.md,In-app messages,In-App Messages,2.0,1,message_building_by_channel,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/best_practices.md,Best practices,In-App Message Best Practices,11.0,2,message_building_by_channel/in-app_messages,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/best_practices/know_before_send.md,Know before you send,Know before you send,999.0,3,message_building_by_channel/in-app_messages/best_practices,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/best_practices/prep_guide.md,Prep guide,In-App Message Prep Guide,0.5,3,message_building_by_channel/in-app_messages/best_practices,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/creative_details.md,Creative details,Creative Details,3.5,2,message_building_by_channel/in-app_messages,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/creative_details/fullscreen.md,Fullscreen,Fullscreen In-App Messages,0.0,3,message_building_by_channel/in-app_messages/creative_details,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/creative_details/modal.md,Modal,Modal In-App Messages,1.0,3,message_building_by_channel/in-app_messages/creative_details,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/creative_details/slideup.md,Slideup,Slideup In-app Messages,2.0,3,message_building_by_channel/in-app_messages/creative_details,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop.md,Drag-and-drop editor,Drag-And-Drop Editor for In-App Messages,2.0,2,message_building_by_channel/in-app_messages,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/create.md,Create an in-app message,Creating an In-App Message with Drag-and-Drop,1.0,3,message_building_by_channel/in-app_messages/drag_and_drop,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/editor_blocks.md,Editor blocks,Drag-and-drop editor blocks,5.0,3,message_building_by_channel/in-app_messages/drag_and_drop,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/style_settings.md,Style settings,In-App Message Style Settings,3.0,3,message_building_by_channel/in-app_messages/drag_and_drop,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates.md,Templates,Templates,10.0,3,message_building_by_channel/in-app_messages/drag_and_drop,False,True
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/email_capture.md,Email sign-up form,Email Sign-up Form,2.0,4,message_building_by_channel/in-app_messages/drag_and_drop/templates,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/email_confirmation_page.md,Email sign-up with confirmation,Email Sign-up with Confirmation Page,6.0,4,message_building_by_channel/in-app_messages/drag_and_drop/templates,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/email_discount.md,Email sign-up with discount,Email Sign-up with Discount,3.0,4,message_building_by_channel/in-app_messages/drag_and_drop/templates,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/email_image.md,Email sign-up with image,Email Sign-up with Background Image,4.0,4,message_building_by_channel/in-app_messages/drag_and_drop/templates,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/email_offer.md,Email sign-up with offer,Email Sign-up with Special Offer,5.0,4,message_building_by_channel/in-app_messages/drag_and_drop/templates,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/onboarding.md,Onboarding flow,Onboarding Flow,0.0,4,message_building_by_channel/in-app_messages/drag_and_drop/templates,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/phone_number_capture.md,"SMS, RCS, and WhatsApp sign-up form","SMS, RCS, and WhatsApp Sign-up Form",1.0,4,message_building_by_channel/in-app_messages/drag_and_drop/templates,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/product_announcement.md,Product announcement,Product Announcement,7.0,4,message_building_by_channel/in-app_messages/drag_and_drop/templates,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/drag_and_drop/templates/seasonal_promo.md,Seasonal promotion with image,Seasonal Promotion with Background Image,8.0,4,message_building_by_channel/in-app_messages/drag_and_drop/templates,False,False
_docs/_user_guide/message_building_by_channel/in-app_messages/faq.md,FAQ,In-App Message FAQ,19.0,2,message_building_by_channel/in-app_messages,False,False
